CODE,DATE,CLOSING PRICE,CLOSING PRICE,CLOSING PRICE
NYA,9/15/2005,7583.14,7583.14,7583.14
NYA,9/16/2005,7646.29,7646.29,7646.29
NYA,9/19/2005,7611.89,7611.89,7611.89
NYA,9/20/2005,7562.84,7562.84,7562.84
NYA,9/21/2005,7515.02,7515.02,7515.02
NYA,9/22/2005,7519.86,7519.86,7519.86
NYA,9/23/2005,7518.9,7518.9,7518.9
NYA,9/26/2005,7556.45,7556.45,7556.45
NYA,9/27/2005,7548.65,7548.65,7548.65
NYA,9/28/2005,7575.1,7575.1,7575.1
NYA,9/29/2005,7632.5,7632.5,7632.5
NYA,9/30/2005,7632.98,7632.98,7632.98
NYA,10/3/2005,7626.23,7626.23,7626.23
NYA,10/4/2005,7558.1,7558.1,7558.1
NYA,10/5/2005,7436.36,7436.36,7436.36
NYA,10/6/2005,7399.66,7399.66,7399.66
NYA,10/7/2005,7435.19,7435.19,7435.19
NYA,10/10/2005,7385.57,7385.57,7385.57
NYA,10/11/2005,7380.81,7380.81,7380.81
NYA,10/12/2005,7322.74,7322.74,7322.74
NYA,10/13/2005,7293.12,7293.12,7293.12
NYA,10/14/2005,7362.59,7362.59,7362.59
NYA,10/17/2005,7370.84,7370.84,7370.84
NYA,10/18/2005,7277.91,7277.91,7277.91
NYA,10/19/2005,7363.07,7363.07,7363.07
NYA,10/20/2005,7234.09,7234.09,7234.09
NYA,10/21/2005,7254.49,7254.49,7254.49
NYA,10/24/2005,7374.53,7374.53,7374.53
NYA,10/25/2005,7361.84,7361.84,7361.84
NYA,10/26/2005,7334.77,7334.77,7334.77
NYA,10/27/2005,7263.32,7263.32,7263.32
NYA,10/28/2005,7369.55,7369.55,7369.55
NYA,10/31/2005,7433.12,7433.12,7433.12
NYA,11/1/2005,7425.18,7425.18,7425.18
NYA,11/2/2005,7509.82,7509.82,7509.82
NYA,11/3/2005,7534.81,7534.81,7534.81
NYA,11/4/2005,7507.56,7507.56,7507.56
NYA,11/7/2005,7519.42,7519.42,7519.42
NYA,11/8/2005,7489.72,7489.72,7489.72
NYA,11/9/2005,7500.99,7500.99,7500.99
NYA,11/10/2005,7530.13,7530.13,7530.13
NYA,11/11/2005,7561.4,7561.4,7561.4
NYA,11/14/2005,7549.17,7549.17,7549.17
NYA,11/15/2005,7509.38,7509.38,7509.38
NYA,11/16/2005,7518.98,7518.98,7518.98
NYA,11/17/2005,7601.12,7601.12,7601.12
NYA,11/18/2005,7634.58,7634.58,7634.58
NYA,11/21/2005,7676.64,7676.64,7676.64
NYA,11/22/2005,7715.35,7715.35,7715.35
NYA,11/23/2005,7743.34,7743.34,7743.34
NYA,11/25/2005,7747.52,7747.52,7747.52
NYA,11/28/2005,7687.42,7687.42,7687.42
NYA,11/29/2005,7692.99,7692.99,7692.99
NYA,11/30/2005,7645.28,7645.28,7645.28
NYA,12/1/2005,7756.54,7756.54,7756.54
NYA,12/2/2005,7760.85,7760.85,7760.85
NYA,12/5/2005,7759.24,7759.24,7759.24
NYA,12/6/2005,7775.85,7775.85,7775.85
NYA,12/7/2005,7731.28,7731.28,7731.28
NYA,12/8/2005,7743.43,7743.43,7743.43
NYA,12/9/2005,7762.6,7762.6,7762.6
NYA,12/12/2005,7790.99,7790.99,7790.99
NYA,12/13/2005,7825,7825,7825
NYA,12/14/2005,7852.18,7852.18,7852.18
NYA,12/15/2005,7815.71,7815.71,7815.71
NYA,12/16/2005,7814,7814,7814
NYA,12/19/2005,7778.59,7778.59,7778.59
NYA,12/20/2005,7777.27,7777.27,7777.27
NYA,12/21/2005,7806.75,7806.75,7806.75
NYA,12/22/2005,7833.77,7833.77,7833.77
NYA,12/23/2005,7841.9,7841.9,7841.9
NYA,12/27/2005,7767.85,7767.85,7767.85
NYA,12/28/2005,7795.76,7795.76,7795.76
NYA,12/29/2005,7788.14,7788.14,7788.14
NYA,12/30/2005,7753.95,7753.95,7753.95
NYA,1/3/2006,7912.41,7912.41,7912.41
NYA,1/4/2006,7962.94,7962.94,7962.94
NYA,1/5/2006,7944.06,7944.06,7944.06
NYA,1/6/2006,8031.66,8031.66,8031.66
NYA,1/9/2006,8053.42,8053.42,8053.42
NYA,1/10/2006,8030.59,8030.59,8030.59
NYA,1/11/2006,8063.51,8063.51,8063.51
NYA,1/12/2006,8008.09,8008.09,8008.09
NYA,1/13/2006,8025.94,8025.94,8025.94
NYA,1/17/2006,7992.6,7992.6,7992.6
NYA,1/18/2006,7953.01,7953.01,7953.01
NYA,1/19/2006,8018.22,8018.22,8018.22
NYA,1/20/2006,7902.27,7902.27,7902.27
NYA,1/23/2006,7953.92,7953.92,7953.92
NYA,1/24/2006,7973.02,7973.02,7973.02
NYA,1/25/2006,7969.49,7969.49,7969.49
NYA,1/26/2006,8044,8044,8044
NYA,1/27/2006,8096.14,8096.14,8096.14
NYA,1/30/2006,8105.25,8105.25,8105.25
NYA,1/31/2006,8106.55,8106.55,8106.55
NYA,2/1/2006,8112.22,8112.22,8112.22
NYA,2/2/2006,8038,8038,8038
NYA,2/3/2006,8001.4,8001.4,8001.4
NYA,2/6/2006,8019.87,8019.87,8019.87
NYA,2/7/2006,7932.5,7932.5,7932.5
NYA,2/8/2006,7974.91,7974.91,7974.91
NYA,2/9/2006,7980.17,7980.17,7980.17
NYA,2/10/2006,7980,7980,7980
NYA,2/13/2006,7947.8,7947.8,7947.8
NYA,2/14/2006,8021.57,8021.57,8021.57
NYA,2/15/2006,8019.76,8019.76,8019.76
